start_hour,member_casual,rides
0,casual,19121
0,member,16525
1,casual,11200
1,member,8861
2,casual,7022
2,member,4974
3,casual,3990
3,member,3902
4,casual,4450
4,member,6560
5,casual,9445
5,member,32683
6,casual,22558
6,member,98401
7,casual,42380
7,member,198621
8,casual,57245
8,member,249087
9,casual,43913
9,member,132623
10,casual,44505
10,member,94189
11,casual,57707
11,member,111035
12,casual,70652
12,member,132205
13,casual,73970
13,member,129149
14,casual,78101
14,member,131127
15,casual,92329
15,member,183723
16,casual,119355
16,member,290386
17,casual,143674
17,member,346814
18,casual,123836
18,member,260101
19,casual,92534
19,member,176905
20,casual,66677
20,member,122126
21,casual,56414
21,member,93010
22,casual,45909
22,member,64206
23,casual,32512
23,member,38146
